"","prefix","band_no1","pop","sex","wk0","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9"
"162",2631,"53866","Urban","F",NA,NA,NA,NA,NA,17.9,NA,NA,NA,NA
"163",2631,"53867","Urban","M",NA,NA,NA,NA,NA,19.9,NA,NA,NA,NA
"164",2631,"53868","Urban","M",NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA
"165",2631,"53869","Urban","F",NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA
"166",2631,"53870","Urban","M",NA,NA,NA,NA,NA,20.6,NA,NA,NA,NA
"167",2631,"53871","Urban","F",NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA
"168",2631,"53872","Urban","M",NA,NA,NA,NA,NA,20.7,NA,NA,NA,NA
"169",2631,"53873","Urban","F",NA,NA,NA,NA,NA,18.5,NA,NA,NA,NA
"170",2631,"53874","Urban","M",NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA
"171",2631,"53875","Urban","F",NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA
"172",2631,"53876","Urban","M",NA,NA,NA,NA,NA,NA,21.9,NA,NA,NA
"173",2631,"53877","Urban","M",NA,NA,NA,NA,NA,NA,18.65,NA,18.48,NA
"174",2631,"53878","Urban","F",NA,NA,NA,NA,NA,NA,17.87,NA,NA,NA
"175",2631,"53879","Urban","M",NA,NA,NA,NA,NA,NA,19.44,NA,NA,NA
"176",2631,"53880","Urban","M",NA,NA,NA,NA,NA,NA,18.95,NA,NA,NA
"177",2631,"53881","Urban","M",NA,NA,NA,NA,NA,NA,17.49,NA,NA,NA
"178",2631,"53882","Urban","M",NA,NA,NA,NA,NA,NA,18.75,NA,NA,NA
"179",2631,"53883","Urban","F",NA,NA,NA,NA,NA,NA,18.89,20.22,NA,NA
"180",2631,"53884","Urban","M",NA,NA,NA,NA,NA,NA,19.75,NA,NA,NA
"181",2631,"53885","Urban","F",NA,NA,NA,NA,NA,NA,19.03,NA,NA,NA
"182",2631,"53886","Urban","M",NA,NA,NA,NA,NA,NA,17.06,16.96,NA,NA
"183",2631,"53887","Urban","F",NA,NA,NA,NA,NA,NA,19.25,NA,NA,NA
"184",2631,"53888","Urban","F",NA,NA,NA,NA,NA,NA,17.46,NA,NA,NA
"185",2631,"53889","Urban","F",NA,NA,NA,NA,NA,NA,20.18,NA,NA,NA
"186",2631,"53890","Urban","M",NA,NA,NA,NA,NA,NA,19.27,NA,NA,NA
"187",2631,"53891","Urban","M",NA,NA,NA,NA,NA,NA,18.1,NA,NA,NA
"188",2631,"53892","Urban","F",NA,NA,NA,NA,NA,NA,NA,19.92,NA,NA
"189",2631,"53893","Urban","M",NA,NA,NA,NA,NA,NA,NA,20.74,20.22,NA
"190",2631,"53894","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.26,NA,NA
"191",2631,"53895","Urban","M",NA,NA,NA,NA,NA,NA,NA,18.18,NA,NA
"192",2631,"53896","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.84,NA,NA
"193",2631,"53897","Urban","M",NA,NA,NA,NA,NA,NA,NA,20.02,NA,NA
"194",2631,"53898","Urban","M",NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA
"195",2631,"53899","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.7,NA,NA
"196",2631,"53900","Urban","M",NA,NA,NA,NA,NA,NA,NA,19.76,NA,NA
